text,joy,sadness,anger,fear,surprise,neutral
"Surprisingly, just leave me alone, i'm angry.",0,0,1,0,0,0
"Usually, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Usually, wow! that's incredible.",0,0,0,0,1,0
"Lately, the uncertainty is paralyzing.",0,0,0,1,0,0
"Finally, the weather is mild today.",0,0,0,0,0,1
"To be honest, I miss them so much.",0,1,0,0,0,0
"Lately, heartbroken and lost.",0,1,0,0,0,0
"Actually, Is this for real? I'm shocked!",0,0,0,0,1,0
"Today, how dare they treat people this way?",0,0,1,0,0,0
"Actually, pure bliss and happiness.",1,0,0,0,0,0
"In the morning, I am so happy today!",1,0,0,0,0,0
"Lately, I'm absolutely stunned.",0,0,0,0,1,0
"Surprisingly, what a turn of events!",0,0,0,0,1,0
"Today, I am absolutely furious with the service.",0,0,1,0,0,0
"Actually, a heavy heart today.",0,1,0,0,0,0
"To be honest, I'm so sorry to hear that.",0,1,0,0,0,0
"Usually, that's a twist i didn't foresee.",0,0,0,0,1,0
"Actually, It's a very lonely day.",0,1,0,0,0,0
"In the morning, a standard procedure was applied.",0,0,0,0,0,1
"Surprisingly, my jaw dropped when i saw it.",0,0,0,0,1,0
"Surprisingly, how dare they treat people this way?",0,0,1,0,0,0
"To be honest, I can't believe they did that to me.",0,0,1,0,0,0
"Finally, the temperature remains constant.",0,0,0,0,0,1
"Actually, I've had enough of this nonsense.",0,0,1,0,0,0
"To be honest, Instructions are followed step by step.",0,0,0,0,0,1
"Surprisingly, I'm grinning from ear to ear.",1,0,0,0,0,0
"Finally, deeply saddened by the news.",0,1,0,0,0,0
"Usually, trembling with anxiety.",0,0,0,1,0,0
"Actually, the temperature remains constant.",0,0,0,0,0,1
"Today, I'm absolutely stunned.",0,0,0,0,1,0
"Actually, utterly outraged by the lack of respect.",0,0,1,0,0,0
"To be honest, success at last, i'm thrilled!",1,0,0,0,0,0
"Lately, heartbroken and lost.",0,1,0,0,0,0
"Today, Infuriated by the incompetence.",0,0,1,0,0,0
"Today, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Finally, I'm afraid of what might happen next.",0,0,0,1,0,0
"Usually, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Surprisingly, cold shivers down my spine.",0,0,0,1,0,0
"Surprisingly, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Actually, Infuriated by the incompetence.",0,0,1,0,0,0
"Usually, I never saw that coming.",0,0,0,0,1,0
"Surprisingly, the sun rises in the east.",0,0,0,0,0,1
"In the morning, I am going to the store.",0,0,0,0,0,1
"In the morning, who would have thought?",0,0,0,0,1,0
"Lately, I'm absolutely stunned.",0,0,0,0,1,0
"In the morning, I never saw that coming.",0,0,0,0,1,0
"Finally, Is this for real? I'm shocked!",0,0,0,0,1,0
"Actually, a standard procedure was applied.",0,0,0,0,0,1
"To be honest, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Usually, this is a major revelation.",0,0,0,0,1,0
"Surprisingly, feeling quite blue and isolated.",0,1,0,0,0,0
"In the morning, trembling with anxiety.",0,0,0,1,0,0
"Actually, I will be there in ten minutes.",0,0,0,0,0,1
"Finally, I'm speechless, what a surprise.",0,0,0,0,1,0
"Actually, I'm so sorry to hear that.",0,1,0,0,0,0
"Finally, the package arrived this morning.",0,0,0,0,0,1
"To be honest, this is so frustrating!",0,0,1,0,0,0
"Surprisingly, my heart is racing, i'm terrified.",0,0,0,1,0,0
"To be honest, I've had enough of this nonsense.",0,0,1,0,0,0
"To be honest, I'm over the moon with joy.",1,0,0,0,0,0
"Today, simply amazing and unexpected.",0,0,0,0,1,0
"Finally, I'm afraid of what might happen next.",0,0,0,1,0,0
"Today, I am so happy today!",1,0,0,0,0,0
"Usually, what a delightful surprise!",1,0,0,0,0,0
"Actually, It is what it is.",0,0,0,0,0,1
"Lately, I feel so vulnerable and scared.",0,0,0,1,0,0
"Surprisingly, I'm seething with rage.",0,0,1,0,0,0
"Lately, Is this for real? I'm shocked!",0,0,0,0,1,0
"Lately, I miss them so much.",0,1,0,0,0,0
"Today, Infuriated by the incompetence.",0,0,1,0,0,0
"Finally, a constant state of dread.",0,0,0,1,0,0
"Actually, oh my god, i didn't expect that!",0,0,0,0,1,0
"To be honest, I don't want to go in there alone.",0,0,0,1,0,0
"Usually, pure bliss and happiness.",1,0,0,0,0,0
"Actually, I'm so sorry to hear that.",0,1,0,0,0,0
"Surprisingly, deeply saddened by the news.",0,1,0,0,0,0
"Lately, I will be there in ten minutes.",0,0,0,0,0,1
"Surprisingly, I'm losing my patience.",0,0,1,0,0,0
"Finally, I feel so vulnerable and scared.",0,0,0,1,0,0
"Actually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Lately, the car is parked in the driveway.",0,0,0,0,0,1
"In the morning, what a beautiful day to be alive.",1,0,0,0,0,0
"Actually, It's been a tough day.",0,1,0,0,0,0
"In the morning, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"In the morning, I'm speechless, what a surprise.",0,0,0,0,1,0
"Actually, everything feels so grey and hopeless.",0,1,0,0,0,0
"In the morning, unbelievable, just unbelievable.",0,0,0,0,1,0
"Usually, the package arrived this morning.",0,0,0,0,0,1
"Finally, what a beautiful day to be alive.",1,0,0,0,0,0
"Finally, my jaw dropped when i saw it.",0,0,0,0,1,0
"Lately, I just want to stay in bed and cry.",0,1,0,0,0,0
"Actually, I'm speechless, what a surprise.",0,0,0,0,1,0
"Usually, who would have thought?",0,0,0,0,1,0
"Today, heartbroken and lost.",0,1,0,0,0,0
"Surprisingly, panic is setting in.",0,0,0,1,0,0
"Lately, a heavy heart today.",0,1,0,0,0,0
"In the morning, It's a very lonely day.",0,1,0,0,0,0
"Lately, I miss them so much.",0,1,0,0,0,0
"Surprisingly, It's been a tough day.",0,1,0,0,0,0
"In the morning, feeling quite blue and isolated.",0,1,0,0,0,0
"Surprisingly, what a turn of events!",0,0,0,0,1,0
"Actually, I'm so proud of this achievement.",1,0,0,0,0,0
"In the morning, what a turn of events!",0,0,0,0,1,0
"Lately, Instructions are followed step by step.",0,0,0,0,0,1
"Today, unbelievable, just unbelievable.",0,0,0,0,1,0
"Lately, what a delightful surprise!",1,0,0,0,0,0
"Finally, a sense of melancholy surrounds me.",0,1,0,0,0,0
"Surprisingly, trembling with anxiety.",0,0,0,1,0,0
"Usually, I don't want to go in there alone.",0,0,0,1,0,0
"To be honest, a constant state of dread.",0,0,0,1,0,0
"Lately, I'm grinning from ear to ear.",1,0,0,0,0,0
"In the morning, I am absolutely furious with the service.",0,0,1,0,0,0
"In the morning, the package arrived this morning.",0,0,0,0,0,1
"Surprisingly, what a turn of events!",0,0,0,0,1,0
"Lately, oh my god, i didn't expect that!",0,0,0,0,1,0
"Today, I will be there in ten minutes.",0,0,0,0,0,1
"Surprisingly, trembling with anxiety.",0,0,0,1,0,0
"Usually, a heavy heart today.",0,1,0,0,0,0
"Lately, Infuriated by the incompetence.",0,0,1,0,0,0
"Usually, completely blindsided by this.",0,0,0,0,1,0
"To be honest, observations were recorded accurately.",0,0,0,0,0,1
"Finally, cold shivers down my spine.",0,0,0,1,0,0
"Finally, deeply saddened by the news.",0,1,0,0,0,0
"Today, this makes my blood boil.",0,0,1,0,0,0
"Actually, observations were recorded accurately.",0,0,0,0,0,1
"To be honest, I am going to the store.",0,0,0,0,0,1
"Actually, a constant state of dread.",0,0,0,1,0,0
"Lately, what a beautiful day to be alive.",1,0,0,0,0,0
"In the morning, this is a total disaster and i'm mad.",0,0,1,0,0,0
"In the morning, a heavy heart today.",0,1,0,0,0,0
"Actually, life is grand!",1,0,0,0,0,0
"Lately, the darkness is frightening.",0,0,0,1,0,0
"Usually, this is the best news ever.",1,0,0,0,0,0
"Surprisingly, deeply saddened by the news.",0,1,0,0,0,0
"Lately, oh my god, i didn't expect that!",0,0,0,0,1,0
"Usually, panic is setting in.",0,0,0,1,0,0
"In the morning, the temperature remains constant.",0,0,0,0,0,1
"Finally, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"To be honest, I'm really scared about the future.",0,0,0,1,0,0
"Usually, the sun rises in the east.",0,0,0,0,0,1
"To be honest, I feel really down lately.",0,1,0,0,0,0
"In the morning, I'm speechless, what a surprise.",0,0,0,0,1,0
"In the morning, I am absolutely furious with the service.",0,0,1,0,0,0
"Usually, It's a very lonely day.",0,1,0,0,0,0
"Lately, trembling with anxiety.",0,0,0,1,0,0
"To be honest, panic is setting in.",0,0,0,1,0,0
"Surprisingly, oh my god, i didn't expect that!",0,0,0,0,1,0
"Usually, pure bliss and happiness.",1,0,0,0,0,0
"Today, the car is parked in the driveway.",0,0,0,0,0,1
"Usually, Infuriated by the incompetence.",0,0,1,0,0,0
"To be honest, It's been a tough day.",0,1,0,0,0,0
"Lately, the darkness is frightening.",0,0,0,1,0,0
"Usually, oh my god, i didn't expect that!",0,0,0,0,1,0
"Surprisingly, a heavy heart today.",0,1,0,0,0,0
"Usually, wow! that's incredible.",0,0,0,0,1,0
"Usually, I can't believe they did that to me.",0,0,1,0,0,0
"Usually, that's a twist i didn't foresee.",0,0,0,0,1,0
"Lately, the meeting started on time.",0,0,0,0,0,1
"To be honest, my jaw dropped when i saw it.",0,0,0,0,1,0
"Finally, this is a total disaster and i'm mad.",0,0,1,0,0,0
"In the morning, the meeting started on time.",0,0,0,0,0,1
"Usually, that loud noise startled me.",0,0,0,1,0,0
"To be honest, such a heartwarming moment.",1,0,0,0,0,0
"To be honest, the package arrived this morning.",0,0,0,0,0,1
"Today, utterly outraged by the lack of respect.",0,0,1,0,0,0
"In the morning, what a turn of events!",0,0,0,0,1,0
"Usually, the car is parked in the driveway.",0,0,0,0,0,1
"Surprisingly, everything feels so grey and hopeless.",0,1,0,0,0,0
"Today, I feel so vulnerable and scared.",0,0,0,1,0,0
"Actually, pure bliss and happiness.",1,0,0,0,0,0
"Today, trembling with anxiety.",0,0,0,1,0,0
"Usually, loneliness is a silent companion.",0,1,0,0,0,0
"To be honest, heartbroken and lost.",0,1,0,0,0,0
"To be honest, nightmares are haunting me.",0,0,0,1,0,0
"To be honest, heartbroken and lost.",0,1,0,0,0,0
"To be honest, I am absolutely furious with the service.",0,0,1,0,0,0
"To be honest, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Actually, completely blindsided by this.",0,0,0,0,1,0
"Surprisingly, this is the best news ever.",1,0,0,0,0,0
"Finally, Instructions are followed step by step.",0,0,0,0,0,1
"In the morning, oh my god, i didn't expect that!",0,0,0,0,1,0
"Today, trembling with anxiety.",0,0,0,1,0,0
"Usually, the darkness is frightening.",0,0,0,1,0,0
"Usually, I don't want to go in there alone.",0,0,0,1,0,0
"Actually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Lately, pure bliss and happiness.",1,0,0,0,0,0
"In the morning, cold shivers down my spine.",0,0,0,1,0,0
"Lately, completely blindsided by this.",0,0,0,0,1,0
"Actually, a standard procedure was applied.",0,0,0,0,0,1
"Finally, that loud noise startled me.",0,0,0,1,0,0
"In the morning, I'm losing my patience.",0,0,1,0,0,0
"To be honest, I'm over the moon with joy.",1,0,0,0,0,0
"Surprisingly, panic is setting in.",0,0,0,1,0,0
"Usually, I've had enough of this nonsense.",0,0,1,0,0,0
"Usually, I miss them so much.",0,1,0,0,0,0
"Finally, everything feels so grey and hopeless.",0,1,0,0,0,0
"Today, completely blindsided by this.",0,0,0,0,1,0
"Lately, feeling quite blue and isolated.",0,1,0,0,0,0
"Today, a heavy heart today.",0,1,0,0,0,0
"Lately, Infuriated by the incompetence.",0,0,1,0,0,0
"Actually, don't push me any further.",0,0,1,0,0,0
"To be honest, I'm speechless, what a surprise.",0,0,0,0,1,0
"Usually, what a delightful surprise!",1,0,0,0,0,0
"Lately, I miss them so much.",0,1,0,0,0,0
"Actually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Finally, the book is on the table.",0,0,0,0,0,1
"Lately, I feel absolutely wonderful.",1,0,0,0,0,0
"Today, I don't want to go in there alone.",0,0,0,1,0,0
"Usually, I have a bad feeling about this.",0,0,0,1,0,0
"In the morning, that's a twist i didn't foresee.",0,0,0,0,1,0
"Actually, that loud noise startled me.",0,0,0,1,0,0
"Usually, what a beautiful day to be alive.",1,0,0,0,0,0
"Surprisingly, I'm worried sick.",0,0,0,1,0,0
"Today, nightmares are haunting me.",0,0,0,1,0,0
"Today, I've had enough of this nonsense.",0,0,1,0,0,0
"Usually, what a turn of events!",0,0,0,0,1,0
"Lately, this is so frustrating!",0,0,1,0,0,0
"To be honest, success at last, i'm thrilled!",1,0,0,0,0,0
"Actually, I'm absolutely stunned.",0,0,0,0,1,0
"Today, I've had enough of this nonsense.",0,0,1,0,0,0
"Finally, data points were plotted on the graph.",0,0,0,0,0,1
"Surprisingly, the meeting started on time.",0,0,0,0,0,1
"Usually, panic is setting in.",0,0,0,1,0,0
"Actually, I feel so vulnerable and scared.",0,0,0,1,0,0
"Today, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Lately, I feel so vulnerable and scared.",0,0,0,1,0,0
"Actually, this is the best news ever.",1,0,0,0,0,0
"Today, I am absolutely furious with the service.",0,0,1,0,0,0
"Usually, how dare they treat people this way?",0,0,1,0,0,0
"Lately, It is what it is.",0,0,0,0,0,1
"Finally, just leave me alone, i'm angry.",0,0,1,0,0,0
"Finally, I'm losing my patience.",0,0,1,0,0,0
"Actually, I don't want to go in there alone.",0,0,0,1,0,0
"To be honest, I feel absolutely wonderful.",1,0,0,0,0,0
"Surprisingly, It is what it is.",0,0,0,0,0,1
"Lately, I'm so sorry to hear that.",0,1,0,0,0,0
"Surprisingly, this is the best news ever.",1,0,0,0,0,0
"In the morning, cold shivers down my spine.",0,0,0,1,0,0
"Lately, feeling very grateful and happy.",1,0,0,0,0,0
"Surprisingly, I'm pleasantly surprised!",0,0,0,0,1,0
"Actually, I'm grinning from ear to ear.",1,0,0,0,0,0
"Lately, I'm over the moon with joy.",1,0,0,0,0,0
"To be honest, I am absolutely furious with the service.",0,0,1,0,0,0
"Finally, It is what it is.",0,0,0,0,0,1
"Actually, the book is on the table.",0,0,0,0,0,1
"Actually, that's a twist i didn't foresee.",0,0,0,0,1,0
"Today, I am so happy today!",1,0,0,0,0,0
"Finally, Infuriated by the incompetence.",0,0,1,0,0,0
"Usually, I'm worried sick.",0,0,0,1,0,0
"Actually, my jaw dropped when i saw it.",0,0,0,0,1,0
"Actually, data points were plotted on the graph.",0,0,0,0,0,1
"Finally, I'm absolutely stunned.",0,0,0,0,1,0
"Lately, the package arrived this morning.",0,0,0,0,0,1
"Usually, who would have thought?",0,0,0,0,1,0
"To be honest, don't push me any further.",0,0,1,0,0,0
"Usually, I'm so proud of this achievement.",1,0,0,0,0,0
"Usually, utterly outraged by the lack of respect.",0,0,1,0,0,0
"In the morning, everything feels so grey and hopeless.",0,1,0,0,0,0
"Actually, pure bliss and happiness.",1,0,0,0,0,0
"Finally, this makes my blood boil.",0,0,1,0,0,0
"Finally, oh my god, i didn't expect that!",0,0,0,0,1,0
"In the morning, I have a bad feeling about this.",0,0,0,1,0,0
"Usually, a constant state of dread.",0,0,0,1,0,0
"In the morning, I never saw that coming.",0,0,0,0,1,0
"To be honest, completely blindsided by this.",0,0,0,0,1,0
"Lately, the darkness is frightening.",0,0,0,1,0,0
"Actually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Lately, the package arrived this morning.",0,0,0,0,0,1
"Usually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"To be honest, such a heartwarming moment.",1,0,0,0,0,0
"Usually, I'm pleasantly surprised!",0,0,0,0,1,0
"Usually, how dare they treat people this way?",0,0,1,0,0,0
"Surprisingly, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Usually, I'm so sorry to hear that.",0,1,0,0,0,0
"Finally, I'm over the moon with joy.",1,0,0,0,0,0
"Usually, my jaw dropped when i saw it.",0,0,0,0,1,0
"Finally, the temperature remains constant.",0,0,0,0,0,1
"In the morning, deeply saddened by the news.",0,1,0,0,0,0
"In the morning, I feel really down lately.",0,1,0,0,0,0
"Usually, It's a very lonely day.",0,1,0,0,0,0
"Finally, stop bothering me right now.",0,0,1,0,0,0
"To be honest, the weather is mild today.",0,0,0,0,0,1
"In the morning, I feel absolutely wonderful.",1,0,0,0,0,0
"Today, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Finally, I have a bad feeling about this.",0,0,0,1,0,0
"In the morning, don't push me any further.",0,0,1,0,0,0
"Actually, I can't believe they did that to me.",0,0,1,0,0,0
"Lately, I'm grinning from ear to ear.",1,0,0,0,0,0
"Finally, pure bliss and happiness.",1,0,0,0,0,0
"Usually, I just want to stay in bed and cry.",0,1,0,0,0,0
"In the morning, I'm worried sick.",0,0,0,1,0,0
"To be honest, feeling very grateful and happy.",1,0,0,0,0,0
"Finally, a constant state of dread.",0,0,0,1,0,0
"In the morning, heartbroken and lost.",0,1,0,0,0,0
"Surprisingly, feeling quite blue and isolated.",0,1,0,0,0,0
"To be honest, who would have thought?",0,0,0,0,1,0
"Usually, the uncertainty is paralyzing.",0,0,0,1,0,0
"In the morning, stop bothering me right now.",0,0,1,0,0,0
"Surprisingly, the sun rises in the east.",0,0,0,0,0,1
"Usually, don't push me any further.",0,0,1,0,0,0
"In the morning, deeply saddened by the news.",0,1,0,0,0,0
"Surprisingly, I will be there in ten minutes.",0,0,0,0,0,1
"Lately, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Actually, this is so frustrating!",0,0,1,0,0,0
"Surprisingly, I'm seething with rage.",0,0,1,0,0,0
"To be honest, a constant state of dread.",0,0,0,1,0,0
"Finally, I am so happy today!",1,0,0,0,0,0
"Actually, the temperature remains constant.",0,0,0,0,0,1
"Surprisingly, this is a total disaster and i'm mad.",0,0,1,0,0,0
"Finally, I'm so sorry to hear that.",0,1,0,0,0,0
"Today, I'm over the moon with joy.",1,0,0,0,0,0
"In the morning, the weather is mild today.",0,0,0,0,0,1
"Actually, how dare they treat people this way?",0,0,1,0,0,0
"Surprisingly, data points were plotted on the graph.",0,0,0,0,0,1
"To be honest, feeling quite blue and isolated.",0,1,0,0,0,0
"Today, this is completely unacceptable.",0,0,1,0,0,0
"To be honest, nightmares are haunting me.",0,0,0,1,0,0
"Lately, what a delightful surprise!",1,0,0,0,0,0
"Actually, I'm losing my patience.",0,0,1,0,0,0
"In the morning, just leave me alone, i'm angry.",0,0,1,0,0,0
"Finally, nightmares are haunting me.",0,0,0,1,0,0
"Finally, Is this for real? I'm shocked!",0,0,0,0,1,0
"Actually, It's been a tough day.",0,1,0,0,0,0
"Today, completely blindsided by this.",0,0,0,0,1,0
"Usually, the meeting started on time.",0,0,0,0,0,1
"Actually, simply amazing and unexpected.",0,0,0,0,1,0
"Actually, pure bliss and happiness.",1,0,0,0,0,0
"Usually, I have a bad feeling about this.",0,0,0,1,0,0
"Finally, completely blindsided by this.",0,0,0,0,1,0
"Lately, feeling very grateful and happy.",1,0,0,0,0,0
"In the morning, the book is on the table.",0,0,0,0,0,1
"Today, that's a twist i didn't foresee.",0,0,0,0,1,0
"Today, I never saw that coming.",0,0,0,0,1,0
"Lately, I am going to the store.",0,0,0,0,0,1
"Finally, I miss them so much.",0,1,0,0,0,0
"Usually, I'm speechless, what a surprise.",0,0,0,0,1,0
"Today, utterly outraged by the lack of respect.",0,0,1,0,0,0
"Surprisingly, this is the best news ever.",1,0,0,0,0,0
"Actually, life is grand!",1,0,0,0,0,0
"In the morning, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Finally, It's a very lonely day.",0,1,0,0,0,0
"In the morning, It's a very lonely day.",0,1,0,0,0,0
"Lately, who would have thought?",0,0,0,0,1,0
"Usually, the meeting started on time.",0,0,0,0,0,1
"To be honest, success at last, i'm thrilled!",1,0,0,0,0,0
"Surprisingly, this is a major revelation.",0,0,0,0,1,0
"To be honest, I'm radiating positivity today.",1,0,0,0,0,0
"Surprisingly, the meeting started on time.",0,0,0,0,0,1
"In the morning, a constant state of dread.",0,0,0,1,0,0
"Lately, this is completely unacceptable.",0,0,1,0,0,0
"In the morning, this is a total disaster and i'm mad.",0,0,1,0,0,0
"In the morning, Is this for real? I'm shocked!",0,0,0,0,1,0
"Usually, I am going to the store.",0,0,0,0,0,1
"Surprisingly, what a beautiful day to be alive.",1,0,0,0,0,0
"To be honest, what a delightful surprise!",1,0,0,0,0,0
"To be honest, unbelievable, just unbelievable.",0,0,0,0,1,0
"To be honest, I miss them so much.",0,1,0,0,0,0
"Actually, who would have thought?",0,0,0,0,1,0
"Lately, this is a major revelation.",0,0,0,0,1,0
"Today, I am going to the store.",0,0,0,0,0,1
"Lately, the meeting started on time.",0,0,0,0,0,1
"Actually, I feel absolutely wonderful.",1,0,0,0,0,0
"Today, unbelievable, just unbelievable.",0,0,0,0,1,0
"Finally, the book is on the table.",0,0,0,0,0,1
"Today, just leave me alone, i'm angry.",0,0,1,0,0,0
"Today, completely blindsided by this.",0,0,0,0,1,0
"Lately, a constant state of dread.",0,0,0,1,0,0
"To be honest, the report is due on monday.",0,0,0,0,0,1
"To be honest, what a turn of events!",0,0,0,0,1,0
"Usually, a constant state of dread.",0,0,0,1,0,0
"Finally, don't push me any further.",0,0,1,0,0,0
"In the morning, I'm really scared about the future.",0,0,0,1,0,0
"In the morning, I'm seething with rage.",0,0,1,0,0,0
"Usually, I'm speechless, what a surprise.",0,0,0,0,1,0
"To be honest, I'm grinning from ear to ear.",1,0,0,0,0,0
"Today, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Usually, feeling very grateful and happy.",1,0,0,0,0,0
"Actually, what a turn of events!",0,0,0,0,1,0
"Finally, I am so happy today!",1,0,0,0,0,0
"Actually, stop bothering me right now.",0,0,1,0,0,0
"To be honest, I've had enough of this nonsense.",0,0,1,0,0,0
"Usually, everything feels so grey and hopeless.",0,1,0,0,0,0
"Lately, everything is going perfectly.",1,0,0,0,0,0
"To be honest, simply amazing and unexpected.",0,0,0,0,1,0
"Today, I am going to the store.",0,0,0,0,0,1
"Finally, I don't want to go in there alone.",0,0,0,1,0,0
"Surprisingly, the package arrived this morning.",0,0,0,0,0,1
"Usually, who would have thought?",0,0,0,0,1,0
"Lately, what a delightful surprise!",1,0,0,0,0,0
"In the morning, feeling very grateful and happy.",1,0,0,0,0,0
"Lately, I've had enough of this nonsense.",0,0,1,0,0,0
"Surprisingly, the darkness is frightening.",0,0,0,1,0,0
"In the morning, heartbroken and lost.",0,1,0,0,0,0
"Lately, a standard procedure was applied.",0,0,0,0,0,1
"In the morning, I'm grinning from ear to ear.",1,0,0,0,0,0
"Actually, this is completely unacceptable.",0,0,1,0,0,0
"To be honest, this is completely unacceptable.",0,0,1,0,0,0
"Lately, I feel really down lately.",0,1,0,0,0,0
"Surprisingly, a constant state of dread.",0,0,0,1,0,0
"Usually, a heavy heart today.",0,1,0,0,0,0
"Actually, I don't want to go in there alone.",0,0,0,1,0,0
"Finally, I can't believe they did that to me.",0,0,1,0,0,0
"In the morning, this is a major revelation.",0,0,0,0,1,0
"Usually, unbelievable, just unbelievable.",0,0,0,0,1,0
"Lately, such a heartwarming moment.",1,0,0,0,0,0
"Actually, the book is on the table.",0,0,0,0,0,1
"To be honest, cold shivers down my spine.",0,0,0,1,0,0
"To be honest, the uncertainty is paralyzing.",0,0,0,1,0,0
"To be honest, I'm absolutely stunned.",0,0,0,0,1,0
"Usually, It's a very lonely day.",0,1,0,0,0,0
"Surprisingly, trembling with anxiety.",0,0,0,1,0,0
"Lately, I'm over the moon with joy.",1,0,0,0,0,0
"Today, trembling with anxiety.",0,0,0,1,0,0
"Today, deeply saddened by the news.",0,1,0,0,0,0
"In the morning, who would have thought?",0,0,0,0,1,0
"Today, stop bothering me right now.",0,0,1,0,0,0
"Finally, that's a twist i didn't foresee.",0,0,0,0,1,0
"Finally, I'm speechless, what a surprise.",0,0,0,0,1,0
"To be honest, I'm radiating positivity today.",1,0,0,0,0,0
"Today, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"Surprisingly, a sense of melancholy surrounds me.",0,1,0,0,0,0
"In the morning, what a delightful surprise!",1,0,0,0,0,0
"Actually, It's been a tough day.",0,1,0,0,0,0
"Today, this is so frustrating!",0,0,1,0,0,0
"Surprisingly, a standard procedure was applied.",0,0,0,0,0,1
"Finally, don't push me any further.",0,0,1,0,0,0
"To be honest, success at last, i'm thrilled!",1,0,0,0,0,0
"To be honest, data points were plotted on the graph.",0,0,0,0,0,1
"Usually, I miss them so much.",0,1,0,0,0,0
"Actually, my jaw dropped when i saw it.",0,0,0,0,1,0
"In the morning, the package arrived this morning.",0,0,0,0,0,1
"In the morning, panic is setting in.",0,0,0,1,0,0
"In the morning, stop bothering me right now.",0,0,1,0,0,0
"Usually, I am absolutely furious with the service.",0,0,1,0,0,0
"In the morning, I'm so proud of this achievement.",1,0,0,0,0,0
"Usually, such a heartwarming moment.",1,0,0,0,0,0
"Today, the car is parked in the driveway.",0,0,0,0,0,1
"Usually, I am so happy today!",1,0,0,0,0,0
"To be honest, observations were recorded accurately.",0,0,0,0,0,1
"Surprisingly, cold shivers down my spine.",0,0,0,1,0,0
"Surprisingly, don't push me any further.",0,0,1,0,0,0
"Finally, I just want to stay in bed and cry.",0,1,0,0,0,0
"In the morning, simply amazing and unexpected.",0,0,0,0,1,0
"Usually, what a beautiful day to be alive.",1,0,0,0,0,0
"Lately, don't push me any further.",0,0,1,0,0,0
"In the morning, the book is on the table.",0,0,0,0,0,1
"Today, how dare they treat people this way?",0,0,1,0,0,0
"Usually, how dare they treat people this way?",0,0,1,0,0,0
"Usually, I miss them so much.",0,1,0,0,0,0
"Usually, I'm over the moon with joy.",1,0,0,0,0,0
"In the morning, the darkness is frightening.",0,0,0,1,0,0
"To be honest, Is this for real? I'm shocked!",0,0,0,0,1,0
"Lately, deeply saddened by the news.",0,1,0,0,0,0
"Surprisingly, the book is on the table.",0,0,0,0,0,1
"To be honest, observations were recorded accurately.",0,0,0,0,0,1
"Actually, my heart is racing, i'm terrified.",0,0,0,1,0,0
"Today, I have a bad feeling about this.",0,0,0,1,0,0
"Actually, cold shivers down my spine.",0,0,0,1,0,0
"Actually, trying to keep my head up, but it's hard.",0,1,0,0,0,0
"To be honest, what a turn of events!",0,0,0,0,1,0
"Actually, everything feels so grey and hopeless.",0,1,0,0,0,0
"Actually, the darkness is frightening.",0,0,0,1,0,0
"Actually, the sun rises in the east.",0,0,0,0,0,1
"Surprisingly, I can't believe they did that to me.",0,0,1,0,0,0
"Actually, deeply saddened by the news.",0,1,0,0,0,0
"Today, the weather is mild today.",0,0,0,0,0,1
"Usually, the uncertainty is paralyzing.",0,0,0,1,0,0
"Usually, nightmares are haunting me.",0,0,0,1,0,0
"To be honest, a sense of melancholy surrounds me.",0,1,0,0,0,0
"Actually, I feel absolutely wonderful.",1,0,0,0,0,0
"Usually, feeling very grateful and happy.",1,0,0,0,0,0
"To be honest, I'm absolutely stunned.",0,0,0,0,1,0
"To be honest, I never saw that coming.",0,0,0,0,1,0
"Today, the weather is mild today.",0,0,0,0,0,1
"Finally, what a delightful surprise!",1,0,0,0,0,0
"Finally, I miss them so much.",0,1,0,0,0,0
"Today, Instructions are followed step by step.",0,0,0,0,0,1
"Lately, It's just one of those days where everything hurts.",0,1,0,0,0,0
"Actually, I'm afraid of what might happen next.",0,0,0,1,0,0
"To be honest, I just want to stay in bed and cry.",0,1,0,0,0,0
"In the morning, such a heartwarming moment.",1,0,0,0,0,0
"To be honest, utterly outraged by the lack of respect.",0,0,1,0,0,0
"To be honest, Instructions are followed step by step.",0,0,0,0,0,1
"Actually, It's a very lonely day.",0,1,0,0,0,0
"Finally, I'm worried sick.",0,0,0,1,0,0
"Finally, the report is due on monday.",0,0,0,0,0,1
"Lately, a heavy heart today.",0,1,0,0,0,0
